113,MQTT,None,Normal,83,512,1,0.788,zip,0.046,UPLOAD,"2015-11-13 11:50:07"
114,MQTT,None,Normal,829,128,7,9.66,jpg,0.277,UPLOAD,"2015-11-13 11:50:07"
115,AMQP,AES,Normal,829,128,8,8.21,jpg,0.158,UPLOAD,"2015-11-12 20:14:13"
116,AMQP,AES,Normal,829,128,8,8.769,jpg,0.162,UPLOAD,"2015-11-12 20:14:13"
117,MQTT,None,Normal,829,128,7,9.813,jpg,0.337,UPLOAD,"2015-11-13 11:50:07"
118,AMQP,None,Normal,83,512,2,0.943,zip,0.02,UPLOAD,"2015-11-12 20:14:13"
119,MQTT,None,Normal,83,512,1,1.129,zip,0.04,UPLOAD,"2015-11-13 11:50:07"
120,AMQP,None,Normal,83,512,2,0.88,zip,0.028,UPLOAD,"2015-11-12 20:14:13"
121,MQTT,None,Normal,83,512,1,1.239,zip,0.026,UPLOAD,"2015-11-13 11:50:07"
122,AMQP,None,Normal,83,512,2,0.701,zip,0.027,UPLOAD,"2015-11-12 20:14:13"
123,AMQP,None,Normal,83,512,2,0.879,zip,0.021,UPLOAD,"2015-11-12 20:14:13"
124,MQTT,None,Normal,83,512,1,1.203,zip,0.028,UPLOAD,"2015-11-13 11:50:07"
125,AMQP,None,Normal,83,512,2,0.827,zip,0.02,UPLOAD,"2015-11-12 20:14:13"
126,MQTT,None,Normal,83,512,1,1.011,zip,0.025,UPLOAD,"2015-11-13 11:50:07"
127,AMQP,None,Normal,83,512,2,0.765,zip,0.022,UPLOAD,"2015-11-12 20:14:13"
128,MQTT,None,Normal,83,512,1,1.108,zip,0.024,UPLOAD,"2015-11-13 11:50:07"
129,AMQP,None,Normal,83,512,2,0.672,zip,0.019,UPLOAD,"2015-11-12 20:14:13"
130,AMQP,None,Normal,83,512,2,0.794,zip,0.042,UPLOAD,"2015-11-12 20:14:13"
131,MQTT,None,Normal,83,512,1,1.122,zip,0.023,UPLOAD,"2015-11-13 11:50:07"
132,AMQP,None,Normal,83,512,2,0.84,zip,0.021,UPLOAD,"2015-11-12 20:14:13"
133,MQTT,None,Normal,83,512,1,1.229,zip,0.036,UPLOAD,"2015-11-13 11:50:07"
134,AMQP,None,Normal,83,512,2,0.857,zip,0.023,UPLOAD,"2015-11-12 20:14:13"
135,AMQP,None,Normal,83,512,2,0.77,zip,0.02,UPLOAD,"2015-11-12 20:14:13"
136,MQTT,None,Normal,83,512,1,1.15,zip,0.034,UPLOAD,"2015-11-13 11:50:07"
137,AMQP,None,Normal,83,512,2,0.801,zip,0.034,UPLOAD,"2015-11-12 20:14:13"
138,MQTT,None,Normal,83,512,1,1.145,zip,0.024,UPLOAD,"2015-11-13 11:50:07"
139,AMQP,None,Normal,83,512,2,0.755,zip,0.029,UPLOAD,"2015-11-12 20:14:13"
140,MQTT,None,Normal,83,512,1,1.241,zip,0.027,UPLOAD,"2015-11-13 11:50:07"
141,AMQP,None,Normal,83,512,2,0.752,zip,0.039,UPLOAD,"2015-11-12 20:14:13"
142,AMQP,None,Normal,83,512,2,0.927,zip,0.06,UPLOAD,"2015-11-12 20:14:13"
143,MQTT,None,Normal,83,512,1,1.465,zip,0.032,UPLOAD,"2015-11-13 11:50:07"
144,AMQP,AES,Normal,829,128,8,17.497,jpg,0.649,UPLOAD,"2015-11-12 20:14:13"
145,MQTT,None,Normal,83,512,1,1.699,zip,0.018,UPLOAD,"2015-11-13 11:50:07"
146,MQTT,None,Normal,829,128,7,18.747,jpg,0.332,UPLOAD,"2015-11-13 11:50:07"
147,MQTT,None,Normal,83,512,1,0.918,zip,0.022,UPLOAD,"2015-11-13 11:50:07"
148,MQTT,None,Normal,83,512,1,1.859,zip,0.091,UPLOAD,"2015-11-13 11:50:07"
149,MQTT,None,Normal,83,512,1,1.788,zip,0.018,UPLOAD,"2015-11-13 11:50:07"
